Clock  ,Queue  ,CPU    ,NewIO? ,p1     ,p2     ,p3     ,p4     ,p5     ,p6     ,p7     ,p8     ,p9     ,p10    ,p11    ,p12    ,p13    ,p14    ,p15    
111    ,1      ,p6_6   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,RUNNING,DONE   ,READY  ,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
112    ,1      ,p6_7   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,RUNNING,DONE   ,READY  ,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
113    ,1      ,p6_8   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,RUNNING,DONE   ,READY  ,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
114    ,1      ,p9_3   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,DONE   ,READY  ,RUNNING,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
115    ,1      ,p9_4   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,DONE   ,READY  ,RUNNING,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
116    ,1      ,p9_5   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,DONE   ,READY  ,RUNNING,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
117    ,0      ,p5_13  ,       ,WAITING,READY  ,READY  ,WAITING,RUNNING,READY  ,DONE   ,READY  ,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
118    ,0      ,p5_14  ,True   ,WAITING,READY  ,READY  ,WAITING,RUNNING,READY  ,DONE   ,READY  ,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
119    ,1      ,p8_5   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,DONE   ,RUNNING,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
120    ,1      ,p8_6   ,       ,WAITING,READY  ,READY  ,WAITING,WAITING,READY  ,DONE   ,RUNNING,READY  ,READY  ,DONE   ,READY  ,DONE   ,READY  ,READY  
